Año,Semana,Día,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2021,45,7,11,142,9,5,5,60,318,62,6,5,124,14,15,35,121,17,14,9,44,43,27,38,13,51,20,71,31,36,6,16,29,6
2021,46,1,9,132,9,4,1,40,109,47,5,11,120,19,18,24,96,9,10,8,57,28,33,21,21,37,18,55,21,25,4,23,12,4
2021,46,2,84,600,25,16,12,234,529,216,7,47,367,40,23,123,493,30,25,26,215,71,52,133,18,112,60,257,99,104,14,66,81,34
2021,46,3,60,512,33,9,15,192,456,220,8,51,325,35,30,84,454,23,22,12,166,66,51,100,20,109,51,185,60,72,15,39,80,24
2021,46,4,64,475,36,8,5,176,500,171,10,33,251,37,25,92,425,13,9,12,179,62,45,97,11,99,39,210,70,70,19,29,55,19
2021,46,5,58,390,48,9,9,163,545,164,12,48,301,18,28,74,392,30,31,8,178,55,43,111,8,84,49,222,60,65,5,38,54,23
2021,46,6,70,392,29,10,5,153,489,139,6,41,287,24,27,63,357,20,45,19,163,56,41,88,11,96,26,211,60,59,9,42,53,16
2021,46,7,8,125,24,3,4,49,228,76,10,10,150,7,18,27,89,9,12,13,42,27,23,23,5,58,23,86,13,19,3,16,16,7
2021,47,1,6,84,32,2,2,57,121,46,3,14,96,5,13,11,79,8,26,8,40,22,27,16,4,14,6,67,10,10,7,17,10,5
2021,47,2,15,191,41,3,2,59,151,113,6,19,162,10,14,31,69,11,19,4,73,44,27,20,4,49,14,119,29,32,3,16,26,5
2021,47,3,83,558,65,11,15,275,492,229,7,77,341,31,22,101,469,24,12,17,188,71,44,81,16,90,53,297,51,59,5,44,82,28
2021,47,4,37,548,59,2,10,270,517,209,8,61,328,12,26,77,418,14,15,5,161,41,34,70,12,100,52,272,49,74,7,36,58,23
2021,47,5,37,450,45,10,9,212,473,195,2,40,311,15,20,81,350,15,18,17,146,50,38,78,11,90,40,289,25,56,5,47,46,14
2021,47,6,45,442,38,5,1,171,506,166,0,51,256,18,12,67,329,13,17,6,135,50,25,64,10,67,37,232,39,49,12,31,52,32
2021,47,7,14,157,29,4,1,60,244,89,2,9,143,7,8,21,102,6,17,8,41,32,20,23,9,39,8,134,12,20,5,13,12,5
2021,48,1,9,130,12,7,3,55,146,72,1,10,100,6,14,26,79,10,4,14,27,17,23,15,5,41,13,90,9,16,0,16,7,5
2021,48,2,101,559,63,8,9,310,509,247,7,79,379,23,19,100,351,22,29,21,159,65,427,78,12,115,60,397,48,52,16,43,54,29
2021,48,3,72,523,59,9,8,259,399,206,8,66,324,24,31,75,396,20,16,10,134,27,199,63,9,92,39,271,22,47,7,35,42,34
2021,48,4,80,502,53,7,4,232,366,207,8,44,251,19,15,101,316,15,7,9,135,41,144,68,7,84,53,278,29,52,6,22,58,23
2021,48,5,75,433,51,5,5,249,532,165,3,42,219,18,15,77,367,16,17,8,125,48,107,43,8,91,40,237,19,43,8,29,30,10
2021,48,6,71,393,58,4,2,240,361,144,3,50,245,13,12,71,339,22,23,7,123,44,25,38,13,76,40,224,31,39,5,23,35,11
2021,48,7,13,133,28,3,0,84,213,80,5,12,139,3,8,22,84,10,11,5,23,24,12,17,8,51,15,90,12,19,3,12,10,3
2021,49,1,15,140,20,3,1,73,111,73,3,16,83,8,7,38,74,11,17,5,34,15,22,27,5,35,20,107,5,19,4,4,5,5
2021,49,2,59,633,72,8,7,393,462,209,2,94,369,24,13,95,436,23,19,9,148,48,25,54,10,98,48,345,36,66,8,27,43,33
2021,49,3,52,554,64,2,4,349,378,211,4,50,300,11,27,80,239,11,7,9,134,46,23,63,3,92,36,280,37,50,3,24,31,16
2021,49,4,68,472,42,4,3,299,338,194,2,52,273,16,12,103,339,6,9,16,119,53,22,49,16,63,49,248,25,42,5,34,40,31
2021,49,5,61,472,41,3,6,350,481,208,3,49,231,12,12,86,342,11,16,14,127,40,21,41,12,89,41,258,20,51,5,15,24,21
2021,49,6,62,390,47,5,2,277,350,154,7,43,247,23,22,66,256,14,18,21,123,24,23,25,14,78,44,261,26,50,9,38,29,29
2021,49,7,12,142,15,0,3,63,147,68,2,8,129,7,6,24,77,10,3,9,52,33,9,16,19,44,14,80,7,22,10,17,6,7
2021,50,1,15,125,8,1,3,58,134,54,2,14,87,7,12,22,45,6,6,3,41,16,8,6,8,32,17,99,5,17,8,10,5,8
2021,50,2,80,653,42,3,6,378,399,235,8,65,308,17,22,116,360,14,20,12,140,49,32,51,16,137,45,304,30,95,14,26,42,30
2021,50,3,74,594,40,2,9,278,378,183,3,61,290,11,15,99,316,10,16,12,101,24,26,50,13,96,32,297,32,87,19,28,30,29
2021,50,4,73,540,45,5,2,285,296,174,5,52,238,9,10,118,301,10,7,19,96,23,22,36,6,100,26,265,17,67,13,24,26,25
2021,50,5,62,459,51,2,10,223,269,148,6,33,254,15,12,118,351,11,17,11,128,27,24,41,13,94,30,230,14,56,8,35,18,44
2021,50,6,70,453,51,1,5,272,428,152,4,25,229,22,18,87,287,15,19,13,72,19,23,33,19,82,47,205,6,36,7,38,24,26
2021,50,7,14,104,20,4,2,65,141,56,1,9,104,9,4,30,88,5,10,5,24,10,14,6,3,50,9,81,4,13,3,25,4,9
2021,51,1,11,118,21,1,0,79,113,63,5,12,90,7,10,42,79,3,8,4,30,12,8,5,25,27,16,79,5,12,2,8,3,8
2021,51,2,106,526,74,2,5,310,359,172,2,48,284,20,18,121,442,12,24,14,127,18,29,31,27,88,45,269,14,50,4,32,12,37
2021,51,3,69,398,86,5,4,317,379,164,3,43,273,17,10,68,281,11,22,24,108,26,24,31,10,66,37,208,8,40,6,23,24,49
2021,51,4,64,399,88,1,4,325,426,144,9,46,248,15,11,72,281,8,13,14,95,29,26,36,22,108,36,186,6,37,3,31,21,24
2021,51,5,84,327,94,5,7,261,435,143,2,45,256,11,9,109,255,5,18,19,92,9,22,44,40,89,40,201,11,53,8,29,19,28
2021,51,6,55,328,70,0,5,230,429,162,4,44,202,9,16,102,251,9,11,20,89,18,20,30,31,74,51,151,14,31,5,22,17,42
2021,51,7,16,97,88,2,1,85,246,62,2,11,92,8,13,23,63,4,4,13,40,8,23,9,35,59,15,80,5,12,6,15,7,12
2021,52,1,18,89,70,5,1,71,192,57,4,9,130,2,11,28,37,2,8,10,30,6,9,7,40,30,19,49,9,17,2,5,6,14
2021,52,2,117,432,206,4,9,327,666,185,4,49,377,26,27,120,362,11,21,27,132,21,41,70,31,115,48,194,25,58,5,46,32,32
2021,52,3,90,364,278,4,4,281,729,165,8,46,262,16,21,113,365,10,25,12,96,19,49,74,91,109,46,181,30,49,13,31,36,32
2021,52,4,73,335,285,9,7,266,990,180,9,38,255,28,8,124,393,12,19,11,123,40,38,39,96,132,52,131,44,59,6,45,29,63
2021,52,5,71,292,348,6,5,265,1063,141,6,34,311,18,25,120,326,11,25,11,136,40,58,62,114,145,49,165,37,77,11,75,49,38
2021,52,6,68,177,348,1,0,206,892,116,5,28,217,15,30,86,266,11,22,10,126,33,27,38,108,120,56,120,24,58,4,22,43,41
